id,genres,original_title,overview,backdrop_path,poster_path,budget,release_date,revenue,runtime,year,trailer
811656,"Horror, Mystery, Thriller",Monstrous,"Laura, traumatized by an abusive relationship, runs away from her former husband with her seven-year-old son Cody. But in their new, idyllic and remote sanctuary, they find they have another, bigger and more terrifying monster to deal with…",/uoTW3nE1TNpYNfbYTbN3SImvBwW.jpg,/ec3aX4DyjepEhPkpIUukaBxKpN3.jpg,0,2022-05-13,138450,89,2022,4bRnHRf6zv4
532710,"Horror, Science Fiction",Firestarter,"For more than a decade, parents Andy and Vicky have been on the run, desperate to hide their daughter Charlie from a shadowy federal agency that wants to harness her unprecedented gift for creating fire into a weapon of mass destruction. Andy has taught Charlie how to defuse her power, which is triggered by anger or pain. But as Charlie turns 11, the fire becomes harder and harder to control. After an incident reveals the family's location, a mysterious operative is deployed to hunt down the family and seize Charlie once and for all. Charlie has other plans.",/bIFrsAcqkLUUxaaiqqpFexYPeCh.jpg,/jjBdPcQ0bplBnv2XgElKLoeFDuM.jpg,12000000,2022-05-12,15000000,94,2022,59MJfJPP5eo
525661,Drama,Bombshell,Bombshell is a revealing look inside the most powerful and controversial media empire of all time; and the explosive story of the women who brought down the infamous man who created it.,/gfBEe58moFHxr79kyauGspUJg2v.jpg,/gzbVbYv095zOjCchkAM8vLLD8NT.jpg,32000000,2019-12-13,61404394,109,2019,0rBnkBIhoFE
504827,"Animation, Adventure, Comedy",The Bob's Burgers Movie,"When a ruptured water main creates an enormous sinkhole right in front of Bob's Burgers, it blocks the entrance indefinitely and ruins the Belchers’ plans for a successful summer. While Bob and Linda struggle to keep the business afloat, the kids try to solve a mystery that could save their family's restaurant. As the dangers mount, these underdogs help each other find hope and fight to get back behind the counter, where they belong.",/pTfUqVyM3mRuxvUiAvaSmdBrhdl.jpg,/31vliI2mopLlh5kUoWpJZ19cF8y.jpg,38000000,2022-05-26,34148750,102,2022,hbGXqUumtqg
420821,"Animation, Family, Comedy, Adventure, Mystery",Chip 'n Dale: Rescue Rangers,"Decades since their successful television series was canceled, Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend’s life.",/qK7Ssnrfvrt65F66A1thvehfQg2.jpg,/7UGmn8TyWPPzkjhLUW58cOUHjPS.jpg,70000000,2022-05-20,623190,99,2022,
267805,"Action, Mystery, Thriller",There Are No Saints,"A man is imprisoned for a crime he didn't commit. When his wife is murdered and his son kidnapped and taken to Mexico, he devises an elaborate and dangerous plan to rescue his son and avenge the murder.",/cL0cdccOMzM508ODsWPfHVMMAzo.jpg,/fcOTYArjKuAgufwHoTvx8w9UKCv.jpg,0,2022-05-27,108738,105,2022,R1ZrmMFp-vU
895744,"Horror, Comedy, Music",Studio 666,"Legendary rock band Foo Fighters move into an Encino mansion steeped in grisly rock and roll history to record their much anticipated 10th album. Once in the house, Dave Grohl finds himself grappling with supernatural forces that threaten both the completion of the album and the lives of the band.",/ppNyhrKHCeEgASliV4QN03bp6QR.jpg,/zD2XyaV6eGEEgEzVnjg0hQVR5yz.jpg,0,2022-02-24,3018515,106,2022,n2GdzsTmu7A
799876,"Crime, Drama, Thriller, Mystery",The Outfit,"Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.",/jjXnYpRQMqzylAmYqKL7VFa3l9w.jpg,/lZa5EB6PVJBT5mxhgZS5ftqdAm6.jpg,5000000,2022-02-25,4000000,105,2022,3UgJL23HxyU
797946,"Horror, Thriller",The Djinn,A mute boy is trapped in his apartment with a sinister monster when he makes a wish to fulfill his heart’s greatest desire.,/kryYpNFiYyPUVC7SXrHk2pjRj4y.jpg,/yk0XkUc3kz6Mrnk9y7o7weSOpO0.jpg,0,2021-05-14,120806,82,2021,Vi3hyzmo7iU
777831,"Action, Thriller",9 Bullets,"A former burlesque dancer turned author discovers a second chance at life and redemption when she risks everything to rescue her young neighbor after he witnesses his parents’ murder. Now on the run from the local crime boss, who happens to be her longtime ex, she makes a desperate attempt to get the boy to safety.",/9CV0D09jfO5WhPrKnZi55Uw8HLQ.jpg,/8h8R2D6AVTZCCA6NIvioObkhXsb.jpg,3000000,2022-04-14,193908,96,2022,FyZcUWLvyos
776501,"Drama, Horror",We're All Going to the World's Fair,"Reality and fantasy begin to blur when a teenager, alone in her attic bedroom, immerses herself in a role-playing horror game online.",/dY2hOaChOawRQnrcrEYiUVXqyoL.jpg,/fXn4Nz1WCTEmzAFvwgEZoPHvptR.jpg,0,2022-04-15,96206,86,2022,y0AnGfzgh_w
751237,"Horror, Mystery",Umma,"Amanda and her daughter live a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother.",/8DHvtmF15wGwkMOW3nqZmpEzEaq.jpg,/moLnqJmZ00i2opS0bzCVcaGC0iI.jpg,3000000,2022-03-18,2100000,83,2022,QQdXvvtu-iI
671318,"Comedy, Drama",¿Y Cómo Es Él?,"Thomas is a meek man on the verge of a nervous breakdown. Despite his situation he decides to fake a work trip to go to Vallarta to confront Jero, a taxi driver who is sleeping with his wife.",/khURfna5TfNcIkovnuCNvizHHGg.jpg,/n5nH4IcSmlYgAil6NOVvn6d35BH.jpg,0,2022-04-07,1478358,95,2022,yFpdd1VR9XE
